页码,风格ID,风格名称,类别,开始进入秒,完全展开秒,原始配图
1,colored-pencil-diary,彩铅日记漫画（默认）,diary,0.0,0.0,references/style-examples/standard/colored-pencil-diary.png
2,ink-wash,水墨写意,ink,1.0,1.2333,references/style-examples/standard/ink-wash.png
3,warm-flat-storybook,暖色几何扁平绘本,graphic,1.6,1.8333,references/style-examples/standard/warm-flat-storybook.png
4,kid-crayon,五岁儿童蜡笔坏画,crayon,2.1666666666666665,2.4,references/style-examples/standard/kid-crayon.png
5,hs-217,奇想风格化3D卡通美学·夸张头身比例（HS-217）,animation,2.7666666666666666,3.0,references/style-examples/standard/hs-217.png
6,minimal-line-explainer,极简黑白线条讲解,line,3.3333333333333335,3.5667,references/style-examples/standard/minimal-line-explainer.png
7,retro-gouache-concept,中古动画水粉概念稿,gouache,3.933333333333333,4.1667,references/style-examples/standard/retro-gouache-concept.png
8,zine-riso-collage,Zine 孔版拼贴,collage,4.5,4.7333,references/style-examples/standard/zine-riso-collage.png
9,emotional-watercolor-sketch,情绪叙事淡彩速写,watercolor,5.1,5.3333,references/style-examples/standard/emotional-watercolor-sketch.png
10,linocut-editorial,粗粝木刻社论插画,print,5.7,5.9333,references/style-examples/standard/linocut-editorial.png
11,ms-paint-bad-doodle,鼠标烂涂鸦,comic,6.266666666666667,6.5,references/style-examples/standard/ms-paint-bad-doodle.png
12,naive-marker-notes,稚拙马克笔笔记,diary,6.866666666666666,7.1,references/style-examples/standard/naive-marker-notes.png
13,hs-137,野生墨线·水墨怪人（HS-137）,ink,7.433333333333334,7.6667,references/style-examples/standard/hs-137.png
14,hs-058,极简几何·大块高饱和色（HS-058）,graphic,8.033333333333333,8.2667,references/style-examples/standard/hs-058.png
15,rawkid-crayon,潦草家庭投稿蜡笔,crayon,8.633333333333333,8.8667,references/style-examples/standard/rawkid-crayon.png
16,hs-221,定格动画式手工毛毡与针织3D人偶·温润质朴的毛线与布料绒毛纤维肌理（HS-221）,animation,9.2,9.4333,references/style-examples/standard/hs-221.png
17,bean-doodle-infographic,小豆人涂鸦信息图,line,9.8,10.0333,references/style-examples/standard/bean-doodle-infographic.png
18,sunlit-storybook,暖光童画绘本,gouache,10.366666666666667,10.6,references/style-examples/standard/sunlit-storybook.png
19,hs-050,分层拼贴质感·复古纸张肌理（HS-050）,collage,10.966666666666667,11.2,references/style-examples/standard/hs-050.png
20,inked-storybook,墨线淡彩绘本,watercolor,11.566666666666666,11.8,references/style-examples/standard/inked-storybook.png
21,hs-082,复古丝网印刷·厚重几何色层（HS-082）,print,12.133333333333333,12.3667,references/style-examples/standard/hs-082.png
22,hs-018,极简圆头人物·面无表情（HS-018）,comic,12.733333333333333,12.9667,references/style-examples/standard/hs-018.png
23,hs-008,神经质手绘·歪斜线条（HS-008）,diary,13.3,13.5333,references/style-examples/standard/hs-008.png
24,hs-190,飞天曲线·矿物色（HS-190）,ink,13.9,14.1333,references/style-examples/standard/hs-190.png
25,hs-059,极简剪影·正负形（HS-059）,graphic,14.466666666666667,14.7,references/style-examples/standard/hs-059.png
26,real-crayon-paper,真实蜡笔纸实拍,crayon,15.066666666666666,15.3,references/style-examples/standard/real-crayon-paper.png
27,hs-227,现代风格化3D黏土/胶体角色雕刻·略带厌世与冷幽默的死鱼眼夸张神态（HS-227）,animation,15.666666666666666,15.9,references/style-examples/standard/hs-227.png
28,ballpoint-scribble,圆珠笔缠绕线速写,line,16.233333333333334,16.4667,references/style-examples/standard/ballpoint-scribble.png
29,nordic-gouache-storybook,北欧低饱和水粉绘本,gouache,16.833333333333332,17.0667,references/style-examples/standard/nordic-gouache-storybook.png
30,hs-063,剪纸般粗粝几何形·强符号（HS-063）,collage,17.4,17.6333,references/style-examples/standard/hs-063.png
31,hs-021,水彩手写生活札记（HS-021）,watercolor,18.0,18.2333,references/style-examples/standard/hs-021.png
32,hs-167,双色套印·轻微错版（HS-167）,print,18.6,18.8333,references/style-examples/standard/hs-167.png
33,hs-055,多彩蜿蜒轮廓·重叠的不规则圆形角色（HS-055）,comic,19.166666666666668,19.4,references/style-examples/standard/hs-055.png
34,hs-098,手帐式小人物·小物罗列（HS-098）,diary,19.766666666666666,20.0,references/style-examples/standard/hs-098.png
35,hs-192,大留白·水墨晕染（HS-192）,ink,20.333333333333332,20.5667,references/style-examples/standard/hs-192.png
36,hs-061,中古几何童话（HS-061）,graphic,20.933333333333334,21.1667,references/style-examples/standard/hs-061.png
37,hs-168,粗蜡笔·越界填色（HS-168）,crayon,21.533333333333335,21.7667,references/style-examples/standard/hs-168.png
38,hs-234,定格动画式粗针马海毛毛衣人偶风·逼真细腻的毛圈毛线编织与毛绒长毛纤维肌理（HS-234）,animation,22.1,22.3333,references/style-examples/standard/hs-234.png
39,organic-contour-doodle,有机轮廓品牌涂鸦,line,22.7,22.9333,references/style-examples/standard/organic-contour-doodle.png
40,hs-045,极简诗意绘本（HS-045）,gouache,23.266666666666666,23.5,references/style-examples/standard/hs-045.png
41,hs-064,拼贴·玩具式图形（HS-064）,collage,23.866666666666667,24.1,references/style-examples/standard/hs-064.png
42,hs-036,松线淡彩绘本（HS-036）,watercolor,24.433333333333334,24.6667,references/style-examples/standard/hs-036.png
43,hs-199,红蓝套印·错版颗粒（HS-199）,print,25.033333333333335,25.2667,references/style-examples/standard/hs-199.png
